,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
Okanagan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Okwanuchu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Oldenburg,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Omaguaca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Omaha,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X
Oman (British Raj),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Omàmìwininìwag (Algonquin),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Onawmanient,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Onundagaonoga (Onondaga),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Onöndowa'ga:' (Seneca),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Onʌyote'a•ka (Oneida),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Oohenumpa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Opelousas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Opiscopank,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Opobo,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Orange Free State,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Orissa,,,,,,,,,,X,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,
Oro Win/Oro Towati’,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Oromo,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
Osage,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Osage (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ostrogoths,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otavalo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Other Rus Principalities,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Oto,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Otoe-Missouri (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Otoe-Missouria (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Otomies,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Ottawa (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ottoman Empire,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Ottoman Sultanate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Oudh,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Ouighurs,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovimbundu,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Oyo,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Očhéthi Šakówiŋ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
O’ de püt/Angpøn (Zoque),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pacahuara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pacamoro,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pacaxes,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pacheedaht,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Paekche,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagan,,,,,,,,,X,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Paipai (Akwa'ala),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pakajaqi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Palas,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Palatinate,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Paleo-Inuit,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paleo-Siberian hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Pallava,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pallava state,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pallavas,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palouse,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Paltas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Palyku,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Pamlico (Pomouik),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pamoari,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pampas cultures,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Pamunkey,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Panará,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pandya state,,,,,,,,X,X,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Pandyas,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pankararu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pankará,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Panzaleo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Papago,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Papal States,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Papou,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Papous,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,X,X,X,X,X,,X,X,X,X,X
Papuans,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Paramas,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Parhae,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parikwene,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Parkatejê,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Parma,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Parthian Empire,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascua Yaqui,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Paspahegh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Passamaquoddy,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pasto,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Patagonian shellfish and marine mammal hunters,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Patamona/Ingarikó,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Patawomeck,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pataxó,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pataxó Hã-Hã-Hãe,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Patwin,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
Paugussett,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pawnee,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Pawnee (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pawtucket,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Payungu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Payómkawichum (Luiseño),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pech,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pechenegs,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pee Dee,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pegu,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
Pemón,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pennacook,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
Penobscot,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pentucket,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Peoria,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Peoria (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pequawket,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pequonnock,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pequot,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Peramangk,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Pericú,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Permians,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perquimans,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Persia,,,,X,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Pescado,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Peshemegs,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Petun,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pewa,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Picts,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piipaash (Maricopa),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pijao,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pilagal'ek,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pima,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Pinikura,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Pinjarup,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Pintupi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Pipa Aha Macav (Mojave),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pirlatapa,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Pisamira,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Piscataway,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pisones,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Pissaseck,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pit River,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pitjantjatjara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Pitta-Pitta,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Plain bison hunters,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,
Plain-Pottery culture,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plains Miwok,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Plateau fichers and hunter gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,
Pocomoke,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pocumtuc,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pocumtuk,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Podunks,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Point Peninsula,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokanoket,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,X,X,X,X,X,,,,,,,,,X,,,,,,X,X,X,X,X,X,X,X
Poland-Lithuania,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,
Poland-Llituania,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Polanes,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polish–Lithuanian Commonwealth,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
Polyanians,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polynesians,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,
Pomerania,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomeranian culture,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomo,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,
Ponca,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Ponca (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pontremoli,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Popeloutchom (Amah Mutsun),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Popoluca (mixe-zoque),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Popti',,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Popũkare,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Poqomam,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Poqomchi’,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Poquonook,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Porter,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Portuguese Brazil,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Portuguese East Africa,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,X,,,,,,,,,
Portuguese Guinea,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,
Post-Ming Warlords,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Potawatomi,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Potawatomi-Shawnee (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Poteskeet,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Poverty point culture,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powhatan,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pratiharas,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Principality of Galicia-Volhynia,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Principality of Kyiv,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Principality of Novgorod,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Principality of Polotsk,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Principality of Vladimir-Suzdal,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Principality of Wallachia,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Proto-Slavs,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prussia,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,
Prussians,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Pskov,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Pueblos,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Puinave,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Punjab,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Punuba,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Purduna,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Purehno,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Puri,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Puruborá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Puruwá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Puyallup,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Puyanawa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pykopcatejê,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Pyu state,,,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Pâri (Pawnee),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
P’urhépecha,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Q'anjob'al,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Q'eqchi',,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Q'ero,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Qayqayt,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Qhara Qhara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Qing Empire,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Qom,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quapaw,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Quatsino,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quazaq Khanate,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Quebec,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Quechan (Kwatsáan),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quechua,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Queensland (UK),,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Queets,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quileute,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quillacinga,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quinault,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quinnipiac,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quiyoughcohannock,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quuiich (Lower Umpqua),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Quw'utsun,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Qwû'lh-hwai-pûm (Klickitat),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rabih az-Zubayr,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Rajastan,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Rajput Clans and Small States,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajput Kingdoms,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Rajput kingdoms,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajputana,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Rajputs,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Rama,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ramaytush,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rankülche,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rapa Nui,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X
Rappahannock,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rarámuri (Tarahumara-Guarijio),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rashtrakuta,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashtrakuta state,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattanakosin Kingdom,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,
Rayados (Borrados),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Raška,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Rembarnga,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Republic of Kraków,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Republic of the Seven Zenden,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,
Resighini Rancheria (Yurok),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Resígaro,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rhodesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,
Rift Valley States,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Rikbaktsá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rio De Oro,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,
Riro,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Roanoke,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Roman Empire,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Rome (Constantinus),,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome (Diocletianus),,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome (Galerius),,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome (Maximian),,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rozwi,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Ruanruan,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumsen,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Runixa Ngiigua (Chocho),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Rupert's Land,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,
Rus' Khaganate,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,X
Russian Empire,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,X,X,X,X,X
Rwanda (Belgium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Ryazan,,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,
S'Klallam,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Saami,X,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saar Protectorate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Sabirs,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac and Fox (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sacapultec,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Safavid Empire,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Saffarids,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saharan Nomadic Tribes,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sahtu,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Sahtu Dene and Metis,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sahtú Got’ine,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Saint Barthelemy,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,X,X,X
Saint Kitts and Nevis (UK),,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,X,X,X,X,,X,X,X
Saint Martin,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,X,X,X,X,,X,X,X
